Buy:    price = 380.93 ||  money = 111.73
*******************************************************
Sold:   price = 385.20 ||  money = 112.36
Buy:    price = 380.33 ||  money = 112.36
*******************************************************
Sold:   price = 383.59 ||  money = 112.84
Buy:    price = 383.04 ||  money = 112.84
*******************************************************
Sold:   price = 383.40 ||  money = 112.89
Buy:    price = 383.09 ||  money = 112.89
*******************************************************
Sold:   price = 385.71 ||  money = 113.28
Buy:    price = 385.48 ||  money = 113.28
*******************************************************
Sold:   price = 386.28 ||  money = 113.40
Buy:    price = 382.96 ||  money = 113.40
*******************************************************
Sold:   price = 386.61 ||  money = 113.94
Buy:    price = 385.27 ||  money = 113.94
*******************************************************
Sold:   price = 385.91 ||  money = 114.03
Buy:    price = 383.96 ||  money = 114.03
*******************************************************
Sold:   price = 384.91 ||  money = 114.17
Buy:    price = 384.11 ||  money = 114.17
*******************************************************
Sold:   price = 384.27 ||  money = 114.20
Buy:    price = 383.80 ||  money = 114.20
*******************************************************
Sold:   price = 384.68 ||  money = 114.33
Buy:    price = 384.02 ||  money = 114.33
*******************************************************
Sold:   price = 384.61 ||  money = 114.42
Buy:    price = 383.72 ||  money = 114.42
*******************************************************
Sold:   price = 384.61 ||  money = 114.55
Buy:    price = 383.08 ||  money = 114.55
*******************************************************
Sold:   price = 384.06 ||  money = 114.70
Buy:    price = 382.24 ||  money = 114.70
*******************************************************
Sold:   price = 383.99 ||  money = 114.96
Buy:    price = 383.43 ||  money = 114.96
*******************************************************
Sold:   price = 383.53 ||  money = 114.97
Buy:    price = 382.18 ||  money = 114.97
*******************************************************
Sold:   price = 382.45 ||  money = 115.01
Buy:    price = 382.38 ||  money = 115.01
*******************************************************
Sold:   price = 382.40 ||  money = 115.02
Buy:    price = 378.45 ||  money = 115.02
*******************************************************
Sold:   price = 378.58 ||  money = 115.04
Buy:    price = 372.49 ||  money = 115.04
*******************************************************
Sold:   price = 375.10 ||  money = 115.44
Buy:    price = 369.30 ||  money = 115.44
*******************************************************
Sold:   price = 373.20 ||  money = 116.05
Buy:    price = 371.21 ||  money = 116.05
*******************************************************
Sold:   price = 371.94 ||  money = 116.16
Buy:    price = 367.04 ||  money = 116.16
*******************************************************
Sold:   price = 371.39 ||  money = 116.85
Buy:    price = 368.16 ||  money = 116.85
*******************************************************
Sold:   price = 368.36 ||  money = 116.88
Buy:    price = 367.44 ||  money = 116.88
*******************************************************
Sold:   price = 369.57 ||  money = 117.22
Buy:    price = 367.62 ||  money = 117.22
*******************************************************
Sold:   price = 371.44 ||  money = 117.83
